nominal;data;curs;cdx
1;29+06+2019;63,0756;Доллар США
1;02+07+2019;63,0541;Доллар США
1;03+07+2019;63,2265;Доллар США
1;04+07+2019;63,4951;Доллар США
1;05+07+2019;63,4013;Доллар США
1;06+07+2019;63,5841;Доллар США
1;09+07+2019;63,8699;Доллар США
1;10+07+2019;63,7660;Доллар США
1;11+07+2019;63,7988;Доллар США
1;12+07+2019;62,9944;Доллар США
1;13+07+2019;63,0204;Доллар США
1;16+07+2019;62,8280;Доллар США
1;17+07+2019;62,8129;Доллар США
1;18+07+2019;62,9451;Доллар США
1;19+07+2019;62,8286;Доллар США
1;20+07+2019;62,8666;Доллар США
1;23+07+2019;62,9776;Доллар США
1;24+07+2019;63,1290;Доллар США
1;25+07+2019;63,1162;Доллар США
1;26+07+2019;63,1572;Доллар США
1;27+07+2019;63,1271;Доллар США
1;30+07+2019;63,5210;Доллар США
1;31+07+2019;63,3791;Доллар США
1;01+08+2019;63,4172;Доллар США
1;02+08+2019;63,8340;Доллар США
1;03+08+2019;64,6423;Доллар США
1;06+08+2019;65,0546;Доллар США
1;07+08+2019;65,2030;Доллар США
1;08+08+2019;65,0932;Доллар США
1;09+08+2019;65,1299;Доллар США
1;10+08+2019;65,2543;Доллар США
1;13+08+2019;65,4287;Доллар США
1;14+08+2019;65,6017;Доллар США
1;15+08+2019;65,2032;Доллар США
1;16+08+2019;65,8907;Доллар США
1;17+08+2019;65,9961;Доллар США
1;20+08+2019;66,6082;Доллар США
1;21+08+2019;66,7840;Доллар США
1;22+08+2019;66,2630;Доллар США
1;23+08+2019;65,6196;Доллар США
1;24+08+2019;65,6046;Доллар США
1;27+08+2019;65,9735;Доллар США
1;28+08+2019;66,2608;Доллар США
1;29+08+2019;66,4127;Доллар США
1;30+08+2019;66,7471;Доллар США
1;31+08+2019;66,4897;Доллар США
1;03+09+2019;66,6235;Доллар США
1;04+09+2019;66,9072;Доллар США
1;05+09+2019;66,5002;Доллар США
1;06+09+2019;66,0528;Доллар США
1;07+09+2019;65,9981;Доллар США
1;10+09+2019;65,5698;Доллар США
1;11+09+2019;65,4393;Доллар США
1;12+09+2019;65,4321;Доллар США
1;13+09+2019;65,1909;Доллар США
1;14+09+2019;64,4711;Доллар США
1;17+09+2019;63,8272;Доллар США
1;18+09+2019;64,1213;Доллар США
1;19+09+2019;64,4290;Доллар США
1;20+09+2019;64,2199;Доллар США
1;21+09+2019;63,8487;Доллар США
1;24+09+2019;63,9453;Доллар США
1;25+09+2019;63,7060;Доллар США
1;26+09+2019;64,1873;Доллар США
1;27+09+2019;64,2888;Доллар США
1;28+09+2019;64,4156;Доллар США
1;01+10+2019;64,6407;Доллар США
1;02+10+2019;65,0670;Доллар США
1;03+10+2019;65,4399;Доллар США
1;04+10+2019;65,1312;Доллар США
1;05+10+2019;65,0300;Доллар США
1;08+10+2019;64,8259;Доллар США
1;09+10+2019;64,8672;Доллар США
1;10+10+2019;65,0976;Доллар США
1;11+10+2019;64,7416;Доллар США
1;12+10+2019;64,2237;Доллар США
1;15+10+2019;64,3652;Доллар США
1;16+10+2019;64,2548;Доллар США
1;17+10+2019;64,3455;Доллар США
1;18+10+2019;64,0144;Доллар США
1;19+10+2019;63,9542;Доллар США
1;22+10+2019;63,7606;Доллар США
1;23+10+2019;63,6336;Доллар США
1;24+10+2019;63,7997;Доллар США
1;25+10+2019;63,8600;Доллар США
1;26+10+2019;63,9966;Доллар США
1;29+10+2019;63,8700;Доллар США
1;30+10+2019;63,8320;Доллар США
1;31+10+2019;63,8734;Доллар США
1;01+11+2019;63,7748;Доллар США
1;02+11+2019;64,0316;Доллар США
1;06+11+2019;63,2480;Доллар США
1;07+11+2019;63,5880;Доллар США
1;08+11+2019;63,7298;Доллар США
1;09+11+2019;63,7295;Доллар США
1;12+11+2019;63,9121;Доллар США
1;13+11+2019;63,8530;Доллар США
1;14+11+2019;64,2009;Доллар США
1;15+11+2019;64,2101;Доллар США
1;16+11+2019;63,8881;Доллар США
1;19+11+2019;63,7542;Доллар США
1;20+11+2019;63,7730;Доллар США
1;21+11+2019;64,0213;Доллар США
1;22+11+2019;63,8430;Доллар США
1;23+11+2019;63,7101;Доллар США
1;26+11+2019;63,7637;Доллар США
1;27+11+2019;64,0239;Доллар США
1;28+11+2019;63,9722;Доллар США
1;29+11+2019;64,1005;Доллар США
1;30+11+2019;64,0817;Доллар США
1;03+12+2019;64,4097;Доллар США
1;04+12+2019;64,1401;Доллар США
1;05+12+2019;64,1948;Доллар США
1;06+12+2019;63,8135;Доллар США
1;07+12+2019;63,7185;Доллар США
1;10+12+2019;63,7244;Доллар США
1;11+12+2019;63,5788;Доллар США
1;12+12+2019;63,5653;Доллар США
1;13+12+2019;63,2257;Доллар США
1;14+12+2019;62,5544;Доллар США
1;17+12+2019;62,7686;Доллар США
1;18+12+2019;62,5326;Доллар США
1;19+12+2019;62,5831;Доллар США
1;20+12+2019;62,5283;Доллар США
1;21+12+2019;62,4071;Доллар США
1;24+12+2019;62,2499;Доллар США
1;25+12+2019;62,1673;Доллар США
1;26+12+2019;61,7164;Доллар США
1;27+12+2019;61,7676;Доллар США
1;28+12+2019;62,0315;Доллар США
1;31+12+2019;61,9057;Доллар США
1;01+01+2020;61,9057;Доллар США
1;10+01+2020;61,2340;Доллар США
1;11+01+2020;61,2632;Доллар США
1;14+01+2020;60,9474;Доллар США
1;15+01+2020;61,4140;Доллар США
1;16+01+2020;61,4328;Доллар США
1;17+01+2020;61,5694;Доллар США
1;18+01+2020;61,5333;Доллар США
1;21+01+2020;61,4654;Доллар США
1;22+01+2020;61,8552;Доллар США
1;23+01+2020;61,8343;Доллар США
1;24+01+2020;61,9515;Доллар США
1;25+01+2020;61,8031;Доллар США
1;28+01+2020;62,3380;Доллар США
1;29+01+2020;62,8299;Доллар США
1;30+01+2020;62,3934;Доллар США
1;31+01+2020;63,0359;Доллар США
1;01+02+2020;63,1385;Доллар США
1;04+02+2020;63,9091;Доллар США
1;05+02+2020;63,4342;Доллар США
1;06+02+2020;63,1742;Доллар США
1;07+02+2020;62,7977;Доллар США
1;08+02+2020;63,4720;Доллар США
1;11+02+2020;63,7708;Доллар США
1;12+02+2020;63,9490;Доллар США
1;13+02+2020;63,0470;Доллар США
1;14+02+2020;63,6016;Доллар США
1;15+02+2020;63,4536;Доллар США
1;18+02+2020;63,3085;Доллар США
1;19+02+2020;63,7698;Доллар США
1;20+02+2020;63,6873;Доллар США
1;21+02+2020;63,7413;Доллар США
1;22+02+2020;64,3008;Доллар США
1;26+02+2020;64,9213;Доллар США
